タイムスタンプ,上記イベント概要・確認の上同意いただけましたか。,バンド名(仮でもOKですが9月末には確定ください。),バンドメンバー及びパート,バンドリーダーの名前およびTwitterアカウント,バンドのコンセプトを簡単に教えてください(どんな楽曲・カバーをやるかなど)
2025/07/14 23:10:35,はい,季節のフルーツタルト,Gt/Vo WK Ba/Vo 925 Dr ピエール荒井,ワケル　@ito_Wakesan,凛として時雨コピーバンド
2025/07/15 0:01:04,はい,悲しきメイメッソ(仮),"Vo/.Gt.けーすけ
Ba.はるぴー
Dr.なおぽ",はるぴー(@pee NGD),ACIDMANのコピバン
2025/07/15 20:43:33,はい,米子のバンド,"Vo.高松シャンハイ
Gt.千早モーリィ
Gt.要ドラゴン
Ba.長崎がい
Dr.椎名レイ",シャンハイ(@Shang_hai_mura),信念(フェイス)のMyGO!!!!!コピバン
2025/07/23 15:18:18,はい,4にんのおじさん,ジュラルGt. チャンダイBa. ちょもDr. うぇるVo.Gt.,うぇる　@NotClever1021,BUMP OF CHICKENのカバーをやります。
2025/08/19 20:53:21,はい,溝ノ口バンド(仮),さとる(Vo)、けーすけ(Gt)、Dye(Ba)、ねむ(Dr)、柿崎(Key),けーすけ(@kts1103),"週刊少年漫画アニメOP,ED曲(ジャンプにするかサンデーにするか悩んでますが、必ず1社選んでやります)"
2025/08/22 19:00:06,はい,The Sketchbook,"ぽん吉(Vo.Ba.)
てぃあら(Gt.)
猫侍(Dr.)",猫侍(id: nekkozamurai),"The Sketchbookのコピーバンドです。
スケットダンスの主題歌を主に演奏する予定です。"
2025/08/23 2:11:23,はい,ポケカバンド,のり太(Vo.)のえる(Gt.)yuri(Gt.)kyo(ba.)ねむ(Dr.),のりたし(@noritashi10X),ポケモンタイアップ
2025/08/23 22:34:31,はい,アタガクション,Gt.Vo.矢澤がく Gt.よしむら Ba.阿太 key.Nack Dr.そらみ,矢澤がく アカウント @gaku_tn,サカナクションコピーバンドです！
2025/08/25 19:01:37,はい,うんちくげぇみんぐ。,"うぇる　Vo
つまみ　Ba
げんのしん　Gt
グチぐ　Dr",グチくん@しゅーじ　@shuji_03,UNISON SQUARE GARDENカバーバンドです!
2025/08/25 23:32:27,はい,灼熱nano.RIPE(仮),ねこり(Vo.Gt.)、ha-tan(Gt.)、さきし(Ba.)、そらみ。(Dr.),ねこり(@rimlice),nano.RIPEの楽曲をエモーショナルにカバーしたいです！します！
2025/08/29 22:36:02,はい,伝説,"やまねこvo,gt みずいろgt てぃーけぇba しょうきdr",やまねこ,クリープハイプ
2025/08/30 19:23:27,はい,tabun(仮),"Gt, Vo. みずいろ
Ba. isuke
Dr. ねこり",あるくみずいろ @ark_lightblue,tacicaのコピーバンド
2025/08/30 20:40:29,はい,パーシモンサイダー(仮),Vo.アカネ Gtみつき Ba柿崎 Drポット (同期使用予定),アカネ @i_Kohaku_25,サイダーガールのコピーをします！のえるフェスで夏先取りしたいです。
2025/08/31 21:29:15,はい,ボカロバンド(仮),ひのむ(Vo.)、のえる(Gt.)、森田氏(Gt.)、幽助(Ba.)、ととまる(Dr.) Gt.2とKeyは未定,ととまる(@torimaru_25),ボカロコピバン予定です！
